,tweet_id,media_type,retweet_count,favorite_count,user_followers
0,892420643555336193,photo,8320,38033,7620330
1,892177421306343426,photo,6144,32658,7620330
2,891815181378084864,photo,4068,24583,7620330
3,891689557279858688,photo,8455,41385,7620330
4,891327558926688256,photo,9162,39573,7620330
5,891087950875897856,photo,3046,19870,7620330
6,890971913173991426,photo,2019,11616,7620330
7,890729181411237888,photo,18457,64196,7620330
8,890609185150312448,photo,4188,27304,7620330
9,890240255349198849,photo,7215,31315,7620330
10,890006608113172480,photo,7176,30098,7620330
11,889880896479866881,photo,4869,27297,7620330
12,889665388333682689,photo,9832,47228,7620330
13,889638837579907072,photo,4439,26650,7620330
14,889531135344209921,photo,2200,14842,7620330
15,889278841981685760,video,5256,24778,7620330
16,888917238123831296,photo,4401,28592,7620330
17,888804989199671297,photo,4200,25096,7620330
18,888554962724278272,photo,3474,19462,7620330
19,888078434458587136,photo,3416,21356,7620330
20,887705289381826560,photo,5276,29625,7620330
21,887517139158093824,video,11429,45419,7620330
22,887473957103951883,photo,17781,67773,7620330
23,887343217045368832,video,10179,33078,7620330
24,887101392804085760,photo,5839,30018,7620330
25,886983233522544640,photo,7607,34517,7620330
26,886736880519319552,photo,3211,11841,7620330
27,886680336477933568,photo,4369,22017,7620330
28,886366144734445568,photo,3131,20805,7620330
29,886267009285017600,no media,4,116,7620330
30,886258384151887873,photo,6151,27478,7620330
31,886054160059072513,no media,105,0,7620330
32,885984800019947520,photo,6639,32049,7620330
33,885528943205470208,photo,6293,35322,7620330
34,885518971528720385,no media,3680,20059,7620330
35,885311592912609280,photo,18166,0,7620330
36,885167619883638784,photo,4294,21527,7620330
37,884925521741709313,photo,17868,75981,7620330
38,884876753390489601,photo,5492,27423,7620330
39,884562892145688576,photo,4595,23862,7620330
40,884441805382717440,photo,5543,26500,7620330
41,884247878851493888,no media,20080,71693,7620330
42,884162670584377345,photo,2925,19977,7620330
43,883838122936631299,photo,3379,21510,7620330
44,883482846933004288,photo,9728,45078,7620330
45,883360690899218434,photo,3627,22279,7620330
46,883117836046086144,photo,6533,36496,7620330
47,882992080364220416,photo,3844,23519,7620330
48,882762694511734784,photo,4814,27789,7620330
49,882627270321602560,photo,5962,27430,7620330
50,882268110199369728,photo,11365,44137,7620330
51,882045870035918850,photo,4869,28836,7620330
52,881906580714921986,photo,3326,23882,7620330
53,881666595344535552,photo,10458,49685,7620330
54,881633300179243008,no media,7,124,7620330
55,881536004380872706,video,15630,48550,7620330
56,881268444196462592,photo,5076,22677,7620330
57,880935762899988482,photo,2732,16715,7620330
58,880872448815771648,photo,3742,20889,7620330
59,880465832366813184,photo,6152,28035,7620330
60,880221127280381952,photo,4131,26579,7620330
61,880095782870896641,photo,4269,27139,7620330
62,879862464715927552,photo,3437,21931,7620330
63,879674319642796034,no media,10,306,7620330
64,879492040517615616,photo,3122,23015,7620330
65,879415818425184262,video,43400,104033,7620330
66,879376492567855104,photo,3059,16484,7620330
67,879130579576475649,no media,6701,0,7620330
68,879050749262655488,photo,4633,22161,7620330
69,879008229531029506,photo,2648,18656,7620330
70,878776093423087618,photo,4052,19074,7620330
71,878604707211726852,no media,7075,29730,7620330
72,878404777348136964,no media,1268,0,7620330
73,878316110768087041,no media,6529,0,7620330
74,878281511006478336,photo,1268,7611,7620330
75,878057613040115712,photo,6701,41329,7620330
76,877736472329191424,photo,18752,78354,7620330
77,877611172832227328,photo,79,0,7620330
78,877556246731214848,photo,3744,22351,7620330
79,877316821321428993,photo,5091,26930,7620330
80,877201837425926144,photo,5487,26673,7620330
81,876838120628539392,photo,3283,20347,7620330
